,datetime,open,high,low,close,volume
0,2023-04-19,9.81000,9.86000,9.73000,9.83000,1431100
1,2023-04-18,9.81000,9.95000,9.68000,9.88000,1489400
2,2023-04-17,9.64000,9.82000,9.57000,9.81000,2049700
3,2023-04-14,9.69000,9.77000,9.47000,9.61000,1411100
4,2023-04-13,9.53000,9.69000,9.47000,9.65000,1582600
5,2023-04-12,9.71000,9.74000,9.44000,9.46000,2188000
6,2023-04-11,9.55000,9.65000,9.49000,9.59000,2796500
7,2023-04-10,9.49000,9.63000,9.36000,9.55000,3505200
8,2023-04-06,9.59000,9.61000,9.46000,9.52000,2084300
9,2023-04-05,9.62000,9.66000,9.50000,9.52000,2163400
10,2023-04-04,9.79000,9.81000,9.55000,9.68000,1674200
11,2023-04-03,9.89000,9.99000,9.63000,9.75000,2647900
12,2023-03-31,9.58000,9.90000,9.56000,9.88000,2330800
13,2023-03-30,9.44000,9.46000,9.26000,9.45000,1595100
14,2023-03-29,9.23000,9.41500,9.18000,9.36000,2234090
15,2023-03-28,8.94000,9.14000,8.87000,9.09000,1221298
16,2023-03-27,9.12000,9.13000,8.97500,9.04000,1731748
17,2023-03-24,8.64000,8.97000,8.60380,8.95000,2126436
18,2023-03-23,9.01000,9.21000,8.84000,8.87000,2372087
19,2023-03-22,9.26000,9.37000,9.01000,9.03000,4077362
20,2023-03-21,9.65000,9.75000,9.52500,9.56000,2598396
21,2023-03-20,9.39000,9.61500,9.37500,9.46000,2538617
22,2023-03-17,9.49000,9.53000,9.21500,9.30000,5218895
23,2023-03-16,9.62000,9.84000,9.51000,9.61000,2484611
24,2023-03-15,9.51000,9.83000,9.50000,9.76000,2309089
25,2023-03-14,10.07000,10.07000,9.70000,9.81000,1995554
26,2023-03-13,9.55000,9.82000,9.44000,9.72000,3005902
27,2023-03-10,9.83000,9.96000,9.62500,9.74000,2907658
28,2023-03-09,10.49000,10.51470,9.86000,9.92000,1872077
29,2023-03-08,10.38000,10.49000,10.29500,10.48000,1141016
30,2023-03-07,10.55000,10.64000,10.30000,10.38000,1698767
31,2023-03-06,10.71000,10.74000,10.47000,10.52000,1553588
32,2023-03-03,10.79000,10.79000,10.62000,10.70000,1245398
33,2023-03-02,10.53000,10.66500,10.38000,10.64000,3339153
34,2023-03-01,10.52000,10.84000,10.52000,10.68000,3207793
35,2023-02-28,10.84000,10.94500,10.56000,10.57000,3069579
36,2023-02-27,10.96000,11.04000,10.81000,10.88000,1895503
37,2023-02-24,10.63000,10.84000,10.53000,10.81000,1995672
38,2023-02-23,10.75000,11.12000,10.45000,10.84000,4127511
39,2023-02-22,10.63000,10.86000,10.21000,10.50000,3623556
40,2023-02-21,10.07000,10.20000,9.96500,10.13000,2471666
41,2023-02-17,10.27000,10.32000,10.07000,10.21000,1970698
42,2023-02-16,10.56000,10.58000,10.23000,10.30000,1946176
43,2023-02-15,10.58000,10.83000,10.58000,10.82000,1068195
44,2023-02-14,10.63000,10.86500,10.57000,10.70000,1055159
45,2023-02-13,10.50000,10.78000,10.43000,10.71000,892961
46,2023-02-10,10.68000,10.69000,10.43000,10.52000,768255
47,2023-02-09,10.77000,10.79000,10.67000,10.72000,1199954
48,2023-02-08,10.74000,10.86000,10.59500,10.64000,1311678
