,datetime,open,high,low,close,volume
0,2023-04-19,8.89000,9.06000,8.00000,8.20000,6000
1,2023-04-18,9.32000,9.32000,8.70000,8.82000,5000
2,2023-04-17,8.97000,9.16000,8.67000,9.11000,2900
3,2023-04-14,8.84000,9.27000,8.72000,9.01000,9000
4,2023-04-13,8.60000,8.86000,8.55000,8.86000,2000
5,2023-04-12,8.15000,8.58000,8.15000,8.53000,3000
6,2023-04-11,7.70000,8.60000,7.70000,8.15000,9300
7,2023-04-10,8.50000,8.50000,7.55000,7.56000,7600
8,2023-04-06,7.15000,7.15000,7.04000,7.09000,3200
9,2023-04-05,7.20000,7.30000,6.90000,7.03000,12600
10,2023-04-04,7.18000,7.64000,7.05000,7.20000,27400
11,2023-04-03,6.86000,7.20000,6.45000,7.14000,47600
12,2023-03-31,6.97000,7.22000,6.63000,6.79000,20700
13,2023-03-30,10.94000,10.94000,6.00000,6.97000,143100
14,2023-03-29,9.86000,10.74000,9.86000,10.74000,3500
15,2023-03-28,9.97000,9.97000,9.90000,9.90000,400
16,2023-03-27,10.22000,10.22000,10.22000,10.22000,0
17,2023-03-24,10.52000,10.52000,10.18000,10.22000,600
18,2023-03-23,10.56000,10.56000,10.39000,10.39000,1800
19,2023-03-22,10.39000,10.62000,10.39000,10.49000,600
20,2023-03-21,10.50000,10.88000,10.47000,10.47000,3200
21,2023-03-20,10.54000,10.54000,10.11000,10.11000,1300
22,2023-03-17,11.50000,11.50000,10.51000,10.51000,5000
23,2023-03-16,12.15000,12.15000,11.87000,11.87000,1300
24,2023-03-15,12.10000,12.10000,12.10000,12.10000,700
25,2023-03-14,11.20000,11.34000,11.01000,11.01000,3000
26,2023-03-13,11.47000,11.61000,11.14000,11.46000,2300
27,2023-03-10,11.53000,11.54000,11.33000,11.54000,2300
28,2023-03-09,11.62000,11.72000,11.53000,11.53000,3300
29,2023-03-08,11.65000,11.65000,11.62000,11.65000,1900
30,2023-03-07,12.00000,12.00000,11.62000,11.62000,1800
31,2023-03-06,11.98000,11.98000,11.98000,11.98000,0
32,2023-03-03,11.98000,11.98000,11.98000,11.98000,800
33,2023-03-02,11.54000,11.54000,11.54000,11.54000,400
34,2023-03-01,11.75000,12.06000,11.50000,11.50000,1500
35,2023-02-28,12.01000,12.13000,11.64000,11.64000,2900
36,2023-02-27,11.93000,12.13000,11.86000,12.01000,2500
37,2023-02-24,12.02000,12.02000,12.02000,12.02000,200
38,2023-02-23,12.15000,12.40000,11.84000,12.22000,8600
39,2023-02-22,12.30000,12.30000,12.30000,12.30000,800
40,2023-02-21,12.55000,12.79000,11.26000,11.80000,11700
41,2023-02-17,12.92000,13.12000,12.55000,12.73000,9900
42,2023-02-16,13.14000,13.14000,12.74000,13.03000,15300
43,2023-02-15,13.35000,13.35000,12.95000,12.95000,9800
44,2023-02-14,13.09000,13.24000,13.06000,13.24000,6400
45,2023-02-13,13.01000,13.16000,12.90000,13.10000,5700
46,2023-02-10,13.00000,13.00000,12.87000,12.92000,4000
47,2023-02-09,12.55000,13.07000,12.55000,12.96000,5300
48,2023-02-08,13.43000,13.49000,12.55000,12.55000,5300
49,2023-02-07,13.13000,13.69000,13.13000,13.46000,3400
50,2023-02-06,13.43000,13.49000,12.98000,12.98000,7400
51,2023-02-03,13.54000,13.82000,13.54000,13.81000,1200
52,2023-02-02,13.16000,13.67000,13.06000,13.64000,1600
