,datetime,open,high,low,close,volume
0,2023-04-19,60.63000,61.00000,59.14000,59.99000,875100
1,2023-04-18,59.80000,61.90000,59.50000,61.53000,1116900
2,2023-04-17,56.80000,59.60000,56.80000,59.60000,1139700
3,2023-04-14,56.06000,56.81000,55.56000,56.77000,694000
4,2023-04-13,56.11000,57.37000,55.54000,56.16000,601600
5,2023-04-12,56.08000,56.38000,55.26000,55.57000,1040300
6,2023-04-11,55.44000,56.59000,55.18000,55.98000,1067100
7,2023-04-10,55.08000,55.90000,54.71000,55.30000,1225700
8,2023-04-06,55.40000,55.73000,54.27000,54.99000,731700
9,2023-04-05,53.96000,55.51000,53.47000,55.50000,746800
10,2023-04-04,54.50000,55.17000,53.75000,54.28000,1339800
11,2023-04-03,54.00000,54.36000,52.71000,53.79000,1990900
12,2023-03-31,54.87000,56.37000,54.76000,56.31000,799800
13,2023-03-30,56.24000,56.24000,54.44000,54.75000,1212900
14,2023-03-29,56.52000,56.57000,54.82000,55.56000,923700
15,2023-03-28,55.95000,56.57000,55.45000,56.29000,659600
16,2023-03-27,54.75000,56.12000,54.57000,55.64000,955200
17,2023-03-24,54.48000,55.48000,54.26000,54.53000,1437700
18,2023-03-23,57.11000,58.07000,54.54000,55.42000,1176800
19,2023-03-22,57.35000,58.14000,56.25000,56.58000,807200
20,2023-03-21,57.06000,57.97000,56.49000,57.39000,1087300
21,2023-03-20,53.95000,56.09000,53.33000,54.91000,895400
22,2023-03-17,54.96000,55.34000,52.79000,54.00000,2424600
23,2023-03-16,54.47000,54.80000,53.00000,54.12000,1309700
24,2023-03-15,56.88000,57.22000,53.18000,55.15000,2451800
25,2023-03-14,58.79000,60.37000,58.43000,59.25000,817600
26,2023-03-13,57.30000,59.03000,55.78000,57.92000,1447100
27,2023-03-10,59.57000,61.46000,59.04000,59.27000,1929000
28,2023-03-09,62.50000,63.20000,59.81000,59.88000,1324900
29,2023-03-08,61.99000,63.22000,60.86000,62.08000,2281600
30,2023-03-07,58.43000,60.58000,57.51000,60.41000,1443800
31,2023-03-06,58.86000,59.09000,57.11000,58.69000,1096800
32,2023-03-03,58.89000,60.07000,58.30000,59.10000,1197152
33,2023-03-02,59.64000,60.03000,58.66000,58.91000,1265893
34,2023-03-01,61.19000,61.19000,60.05000,60.18000,908160
35,2023-02-28,62.00000,62.40000,60.31000,60.36000,1107235
36,2023-02-27,61.45000,62.43000,61.12000,61.82000,1362893
37,2023-02-24,60.51000,61.75990,60.00000,61.26000,940585
38,2023-02-23,59.91000,62.00000,59.39000,60.86000,1582868
39,2023-02-22,60.40000,60.69000,58.13060,58.74000,1793845
40,2023-02-21,62.21000,62.87000,60.79000,60.94000,1441933
41,2023-02-17,63.38000,64.20000,60.94000,62.16000,1848454
42,2023-02-16,61.30000,63.40000,59.70010,63.19000,2239913
43,2023-02-15,59.70000,61.64000,59.50000,61.03000,1430284
