,datetime,open,high,low,close,volume
0,2023-04-19,5.78000,5.78000,5.57000,5.71000,6000
1,2023-04-18,5.51000,6.15000,5.51000,5.88000,30100
2,2023-04-17,5.40000,5.64000,5.40000,5.58000,4800
3,2023-04-14,5.49000,5.53000,5.14000,5.37000,65200
4,2023-04-13,5.41000,5.58000,5.41000,5.48000,4300
5,2023-04-12,5.98000,5.98000,5.42000,5.42000,15300
6,2023-04-11,5.88000,6.04000,5.59000,5.68000,14000
7,2023-04-10,5.38000,6.19000,5.38000,6.08000,28800
8,2023-04-06,5.60000,5.70000,5.34000,5.46000,24300
9,2023-04-05,5.14000,5.84000,5.14000,5.67000,26500
10,2023-04-04,5.49000,5.50000,5.11000,5.15000,9000
11,2023-04-03,5.48000,5.50000,5.33000,5.48000,12500
12,2023-03-31,5.32000,5.50000,5.20000,5.48000,9200
13,2023-03-30,5.62000,5.70000,4.90000,5.32000,55400
14,2023-03-29,6.23000,6.23000,5.50000,5.62000,34100
15,2023-03-28,6.46000,6.55000,6.20000,6.38000,21100
16,2023-03-27,6.70000,6.74000,6.50000,6.53000,5300
17,2023-03-24,6.24000,6.99000,6.24000,6.72000,34100
18,2023-03-23,6.19000,7.00000,6.19000,6.33000,15700
19,2023-03-22,6.37000,6.40000,5.69000,6.15000,39500
20,2023-03-21,6.53000,6.96000,6.13000,6.43000,46900
21,2023-03-20,6.52000,6.68000,6.30000,6.53000,13500
22,2023-03-17,7.25000,7.31000,6.32000,6.50000,42800
23,2023-03-16,6.71000,7.76000,6.71000,7.26000,25800
24,2023-03-15,7.94000,7.94000,6.48000,6.91000,50000
25,2023-03-14,8.07000,8.40000,8.00000,8.00000,20300
26,2023-03-13,7.59000,8.09000,7.31000,7.91000,16100
27,2023-03-10,7.58000,7.88000,7.35000,7.76000,15400
28,2023-03-09,7.62000,8.07000,7.52000,7.52000,14600
29,2023-03-08,7.52000,7.92000,7.52000,7.92000,11200
30,2023-03-07,7.75000,7.75000,7.50000,7.65000,3500
31,2023-03-06,7.72000,7.94000,7.72000,7.79000,7500
32,2023-03-03,7.47000,7.84650,7.26310,7.71000,13066
33,2023-03-02,7.18000,7.90000,7.06000,7.63000,17405
34,2023-03-01,7.16000,7.46200,7.16000,7.32000,10499
35,2023-02-28,7.63000,7.90000,6.90000,7.31000,31900
36,2023-02-27,7.69360,7.73000,7.44000,7.73000,7110
37,2023-02-24,7.83000,7.84000,7.27000,7.36000,30835
38,2023-02-23,8.39000,8.60000,8.00000,8.18000,20377
39,2023-02-22,7.00000,8.00000,6.80310,8.00000,37487
40,2023-02-21,7.61000,7.61000,6.67000,6.68000,41673
41,2023-02-17,7.38000,7.68000,7.38000,7.61000,2455
42,2023-02-16,7.50000,7.70000,7.46000,7.49000,23530
43,2023-02-15,7.72000,7.98000,7.56000,7.69000,45000
44,2023-02-14,7.93000,8.04990,7.75980,7.80000,55933
45,2023-02-13,8.00000,8.75000,7.81000,8.14000,32956
46,2023-02-10,8.16000,8.30000,8.00000,8.14000,22404
47,2023-02-09,9.13000,9.13000,8.13000,8.29000,35583
48,2023-02-08,8.91000,9.38990,8.50000,9.09000,19588
49,2023-02-07,9.10000,9.33000,8.86000,9.11000,27743
50,2023-02-06,8.74000,9.34000,8.40000,9.17000,36531
51,2023-02-03,8.35000,9.23000,8.35000,8.97000,13421
52,2023-02-02,8.27000,8.68000,8.27000,8.50000,31817
53,2023-02-01,7.88000,8.45000,7.70000,8.32000,25531
54,2023-01-31,7.50000,7.98000,7.50000,7.93000,15831
55,2023-01-30,8.20000,8.35830,7.50000,7.50000,13625
56,2023-01-27,7.70000,8.47700,7.70000,8.31000,47625
57,2023-01-26,7.71000,8.00000,7.71000,7.75000,2990
58,2023-01-25,7.65000,7.79000,7.11000,7.70000,37903
59,2023-01-24,7.75000,8.02000,7.53000,7.75380,12568
60,2023-01-23,8.04000,8.53000,7.81000,8.02000,29348
61,2023-01-20,8.55000,8.55000,7.76000,8.00000,42789
62,2023-01-19,8.56000,8.82000,8.17400,8.52000,30837
63,2023-01-18,8.78000,8.92990,8.60000,8.68000,14833
64,2023-01-17,8.99000,8.99000,8.40000,8.68000,17801
65,2023-01-13,9.46000,9.48000,8.91000,8.98000,40534
66,2023-01-12,8.41000,10.33000,8.41000,9.51000,95397
67,2023-01-11,8.14000,8.58000,8.14000,8.41000,27825
