,datetime,open,high,low,close,volume
0,2023-04-19,16.80000,17.13000,16.76000,17.03000,38400
1,2023-04-18,16.90000,17.20300,16.60000,16.86000,21500
2,2023-04-17,16.86000,17.09500,16.76000,16.76000,28000
3,2023-04-14,17.00000,17.09000,16.67000,16.75000,16400
4,2023-04-13,16.61000,16.92000,16.52500,16.87800,36500
5,2023-04-12,17.05000,17.19000,16.40000,16.42000,52900
6,2023-04-11,17.00000,17.29000,16.89000,16.93000,49700
7,2023-04-10,16.90000,17.07000,16.75000,16.85000,45100
8,2023-04-06,17.15000,17.28000,16.93000,16.98000,122000
9,2023-04-05,17.75000,18.00000,16.88000,17.27000,56900
10,2023-04-04,18.77000,18.93000,17.69000,18.00000,61300
11,2023-04-03,19.11000,19.49000,18.60000,18.74000,110200
12,2023-03-31,19.00000,19.21000,18.54000,19.21000,227700
13,2023-03-30,18.87000,18.87000,18.37400,18.61000,45200
14,2023-03-29,18.08000,18.78000,18.08000,18.70000,143400
15,2023-03-28,17.52000,17.95000,17.28000,17.93000,43500
16,2023-03-27,16.73000,17.67000,16.73000,17.54000,45100
17,2023-03-24,16.78000,16.81000,16.30000,16.61000,58600
18,2023-03-23,17.05000,17.50000,16.90000,17.05000,27100
19,2023-03-22,16.51000,17.15000,16.34000,17.00000,32600
20,2023-03-21,16.67000,16.91000,16.40000,16.61000,29600
21,2023-03-20,17.07000,17.34000,16.30000,16.40000,35900
22,2023-03-17,17.73000,18.46000,16.83000,16.88000,31600
23,2023-03-16,16.38000,17.94000,16.21000,17.94000,41500
24,2023-03-15,16.93000,16.93000,16.15800,16.39000,58000
25,2023-03-14,16.85000,17.60000,16.74000,16.99000,20300
26,2023-03-13,17.63000,17.78000,16.05000,16.50000,68900
27,2023-03-10,18.10000,18.33200,17.65000,17.87000,46700
28,2023-03-09,18.41000,18.41000,18.01000,18.15000,63017
29,2023-03-08,18.18000,18.42000,18.10000,18.31000,23400
30,2023-03-07,18.40000,18.40000,18.01000,18.18400,25600
31,2023-03-06,18.25000,18.48200,18.25000,18.36000,25100
32,2023-03-03,18.10000,18.34000,18.01000,18.20000,30100
33,2023-03-02,17.93000,18.23000,17.68000,18.00000,22800
34,2023-03-01,18.03000,18.07200,17.70000,18.00000,17800
35,2023-02-28,17.91000,18.13000,17.60000,18.11000,63700
36,2023-02-27,18.48000,18.48000,17.85000,17.92000,27400
37,2023-02-24,18.29000,18.53000,18.28400,18.48000,25900
38,2023-02-23,18.05000,18.55000,18.05000,18.51000,32800
39,2023-02-22,17.65000,17.91800,17.50000,17.89000,30600
40,2023-02-21,18.21000,18.21000,17.51000,17.65000,48600
41,2023-02-17,18.12000,18.49000,18.01000,18.35000,63100
42,2023-02-16,18.20000,18.28000,17.99000,18.12000,24800
43,2023-02-15,18.30000,18.42000,18.25000,18.35000,21200
44,2023-02-14,18.16000,18.32000,17.96000,18.29000,37400
45,2023-02-13,18.28000,18.40900,18.01000,18.10000,74000
46,2023-02-10,18.30000,18.37000,17.95000,18.19000,58100
47,2023-02-09,18.95000,19.02000,18.32000,18.32000,33300
48,2023-02-08,18.91000,18.93800,18.54000,18.81000,52500
49,2023-02-07,18.74000,19.19000,18.45000,18.87000,88200
50,2023-02-06,19.60000,19.60000,18.78000,18.78000,51000
51,2023-02-03,19.99000,19.99000,19.53200,19.60000,53700
52,2023-02-02,19.85000,20.19900,19.72000,20.09000,61600
53,2023-02-01,19.76000,19.81000,19.54000,19.76000,33300
54,2023-01-31,19.02000,19.78000,19.02000,19.78000,74800
55,2023-01-30,18.28000,18.98000,18.28000,18.91000,40000
56,2023-01-27,18.30000,18.63000,18.22000,18.27000,40800
57,2023-01-26,18.52000,18.55000,18.29000,18.39000,118800
58,2023-01-25,18.48000,18.52000,18.01000,18.42000,93900
59,2023-01-24,18.65000,19.25000,18.26000,18.53000,88900
60,2023-01-23,18.79000,19.05000,18.47100,18.65000,115300
61,2023-01-20,19.62000,19.62400,18.68000,18.78000,70000
62,2023-01-19,19.60000,19.95000,19.30600,19.56000,81000
63,2023-01-18,19.30000,20.24300,19.30000,19.69000,166700
64,2023-01-17,18.44000,19.17000,18.41000,19.10000,54000
65,2023-01-13,18.13000,18.50000,18.13000,18.44000,92100
66,2023-01-12,18.67000,18.72000,17.90000,18.28000,147300
67,2023-01-11,19.11000,19.11000,18.26000,18.58000,198300
68,2023-01-10,18.80000,19.12400,18.56000,19.12400,62100
69,2023-01-09,18.48000,18.96300,18.48000,18.89000,58300
70,2023-01-06,17.57000,18.42900,17.57000,18.37000,65000
71,2023-01-05,17.05000,17.58000,16.93000,17.49000,90000
72,2023-01-04,16.88000,17.84000,16.88000,17.24000,68400
73,2023-01-03,16.19000,16.74000,16.19000,16.74000,70100
74,2022-12-30,15.69000,16.26000,15.56500,15.97000,77800
75,2022-12-29,15.65000,15.95000,15.59800,15.85000,92100
76,2022-12-28,16.03000,16.12500,15.64000,15.65000,66200
77,2022-12-27,15.81000,16.12000,15.76100,16.00000,60700
78,2022-12-23,15.68000,15.99000,15.41000,15.84000,100500
79,2022-12-22,16.10000,16.10000,15.50000,15.74000,102800
80,2022-12-21,16.16000,16.37900,16.08000,16.10000,60100
81,2022-12-20,16.30000,16.42500,16.03000,16.06000,67100
82,2022-12-19,16.95000,16.95000,16.31000,16.37000,62200
83,2022-12-16,16.65000,16.96000,16.48000,16.96000,70900
84,2022-12-15,16.95000,17.10000,16.56000,16.68000,128300
85,2022-12-14,16.82000,17.09400,16.80000,16.93000,104400
86,2022-12-13,16.64000,16.88600,16.57000,16.75000,69500
87,2022-12-12,16.67000,16.77000,16.14000,16.31000,84200
88,2022-12-09,17.11000,17.15000,16.40000,16.63000,139400
89,2022-12-08,17.66000,17.72000,17.08000,17.08000,52500
90,2022-12-07,17.72000,17.86000,17.44100,17.60000,47800
91,2022-12-06,17.97000,18.20000,17.50000,17.66000,71000
92,2022-12-05,18.45000,18.45000,17.80000,17.88000,75500
93,2022-12-02,18.21000,18.66000,18.21000,18.46000,80800
94,2022-12-01,18.31000,18.64000,18.19000,18.54000,87500
95,2022-11-30,17.89000,18.22000,17.78000,18.19000,79400
96,2022-11-29,17.97000,18.11000,17.79500,17.87000,99500
97,2022-11-28,18.71000,18.81000,18.22000,18.25000,81400
98,2022-11-25,18.66000,18.83000,18.30000,18.70200,22000
99,2022-11-23,18.59000,18.70000,18.54000,18.66000,45200
100,2022-11-22,18.89000,18.89000,18.48000,18.50000,41400
101,2022-11-21,18.90000,19.05000,18.67000,18.77900,43800
102,2022-11-18,19.21000,19.44500,18.90000,18.90000,13500
103,2022-11-17,19.24000,19.35400,19.01400,19.10000,48500
104,2022-11-16,19.55000,19.60000,19.17100,19.29000,23200
105,2022-11-15,19.62000,19.67100,19.43000,19.49000,26200
106,2022-11-14,19.80000,19.85000,19.42000,19.53000,19400
107,2022-11-11,19.75000,20.01000,19.33100,19.81300,31900
108,2022-11-10,18.73000,19.62000,18.73000,19.60000,45400
109,2022-11-09,18.56000,18.59000,18.14000,18.43000,19300
110,2022-11-08,18.48000,18.73000,18.30000,18.58000,30800
111,2022-11-07,18.52000,18.52000,18.25000,18.42000,31500
112,2022-11-04,19.20000,19.20000,18.31000,18.52000,46000
113,2022-11-03,18.90000,19.11500,18.69000,19.08000,23500
114,2022-11-02,19.34000,19.35000,18.95000,18.97000,13700
115,2022-11-01,19.52000,19.52000,18.19000,19.27000,67200
116,2022-10-31,19.55000,19.64000,19.27000,19.46000,16100
117,2022-10-28,19.42000,19.60000,19.27000,19.55500,14400
118,2022-10-27,19.66000,19.82300,19.41000,19.46000,20400
