,datetime,open,high,low,close,volume
0,2023-04-19,38.36000,38.68000,38.22500,38.61000,169974
1,2023-04-18,38.68000,38.68000,38.10000,38.45000,192266
2,2023-04-17,38.29000,38.75000,38.03000,38.54000,180813
3,2023-04-14,38.80000,39.23000,37.96000,38.15000,204361
4,2023-04-13,38.27000,38.71000,38.02500,38.63000,358167
5,2023-04-12,38.93000,39.04500,38.00000,38.03000,201151
6,2023-04-11,37.96000,38.91000,37.96000,38.68000,142912
7,2023-04-10,37.37000,38.26000,37.33000,37.95000,273379
8,2023-04-06,38.05000,38.21000,37.85000,37.94000,179592
9,2023-04-05,37.75000,38.10500,37.56000,37.93000,184491
10,2023-04-04,38.56000,38.78000,37.49000,37.87000,200355
11,2023-04-03,38.64000,39.01000,38.30000,38.68000,225168
12,2023-03-31,38.67000,39.21000,38.45000,38.77000,321797
13,2023-03-30,38.43000,38.63050,37.95000,38.27000,236250
14,2023-03-29,37.28000,38.04000,37.25000,37.99000,224289
15,2023-03-28,36.52000,37.14000,36.52000,36.97000,175226
16,2023-03-27,36.69000,37.09000,36.51000,36.73000,244832
17,2023-03-24,35.96000,36.32000,35.46000,36.23000,344360
18,2023-03-23,36.50000,37.18000,36.02000,36.30000,235156
19,2023-03-22,37.38000,37.68500,36.41000,36.48000,216355
20,2023-03-21,37.94000,38.24000,37.12500,37.43000,280667
21,2023-03-20,36.90000,37.70000,36.90000,37.41000,343592
22,2023-03-17,36.24000,36.81000,35.86000,36.60000,786895
23,2023-03-16,35.65000,36.74000,35.43000,36.42000,344900
24,2023-03-15,34.49000,36.31000,34.49000,36.17000,429204
25,2023-03-14,36.78000,36.79000,35.07000,35.42000,336673
26,2023-03-13,35.34000,36.45000,35.25000,35.61000,394341
27,2023-03-10,35.73000,36.89000,35.04010,36.08000,530110
28,2023-03-09,39.87000,40.94000,35.82900,35.96000,674448
29,2023-03-08,43.40000,43.82500,43.10000,43.51000,143616
30,2023-03-07,44.24000,44.32000,43.26000,43.39000,184262
31,2023-03-06,45.04000,45.31000,43.93000,44.11000,179615
32,2023-03-03,45.19000,45.19000,44.75000,45.06000,249993
33,2023-03-02,44.02000,44.95000,43.99000,44.83000,225831
34,2023-03-01,44.46000,44.57000,43.94000,44.40000,153839
35,2023-02-28,44.63000,45.15000,44.48000,44.49000,350609
36,2023-02-27,45.27000,45.60000,44.45000,44.70000,140813
37,2023-02-24,43.93000,44.99000,43.78000,44.85000,168371
38,2023-02-23,44.41000,44.71000,43.84000,44.62000,228905
39,2023-02-22,44.23000,44.69000,44.01000,44.20000,305558
40,2023-02-21,44.75000,45.00000,44.05000,44.06000,240839
41,2023-02-17,46.02000,46.19000,44.97000,45.28000,238504
42,2023-02-16,45.50000,46.33100,45.36000,45.82000,160777
43,2023-02-15,45.92000,46.40000,45.82000,46.29000,199615
44,2023-02-14,46.54000,46.75000,45.73500,46.41000,173467
45,2023-02-13,46.27000,46.89000,46.27000,46.88000,131439
46,2023-02-10,46.15000,46.49000,45.87000,46.30000,96590
47,2023-02-09,47.63000,47.63000,46.30000,46.56000,117164
48,2023-02-08,47.43000,47.82000,47.05000,47.19000,128193
